LIBELLE,CLI_ID
EDT VANILLE PN2 20ML,21263
EDT VAPO 75 ML TRANSAT,4340
EDT VAPO 75ML HOGGAR,16815
ELIXIR 7.9 COLLECTOR 2012 30ml,472
ELIXIR 7.9 Int Jeunesse30ml CS,444
ELIXIR DE BEAUTE2 RICHE CR10ML,92
ELIXIR EXFOLIANT VEGETAL TU75ML,5528
ESSENCE RIDES  FERMETE SV3 30ML,6316
ETINCELL SOLEIL/CUIVR A/T NOEL11 LU3 7ML,1
ETINCELLE OR NOEL12 LUM4 ANIM 7ML,57
EVIDENCE L' EAU 75ML,6100
EXFOLIANT FRAISE PN P200 VPM,90
EXFOLIANT OLIVE PN 50ml VPM,50
EXFOLIANT OLIVE PN2 P200ML VPM,631
EXFOLIANT PECHE PN 50ml VPM,52
EXFOLIANT PECHE PN2 P200ML VPM,473
EXFOLIANT TRAD DE HAM P150ml,8087
EXFOLIANT VANILLE PN 50ml VPM,31
EXFOLIANT VANILLE PN2 200ML VPM,663
EYE LINER BRUN03 CN3 2.5ML,2584
EYE LINER EMERAUDE05 CN3 2.5ML,1809
EYE LINER NOIR 02 CN3 2.5ML,8269
"EYE LINER NOIR 81 LUM4 2,5ML",9795
EYE LINER NOIR CN3 2.5ML,12029
EYE LINER PRUNE06 CN3 2.5ML,2014
EYE LINER SAPHIR04 CN3 2.5ML,2159
"EYELINER ARGEN ETINC HIV13 ANI LU4 2,5ML",230
"EYELINER OR NOEL12 LUM4 ANIM 2,5ML",82
FAJ POUDRE ABRICOT LUM4 2G,3067
FAJ POUDRE ROSE LUM4 2G,1615
FAJ POUDRE ROSE LUMINELLE4 2G,1013
FAP CR METAL BRONZE CN3 5ML,1
FAP CR METAL CHROME CN3 5ML,4
FAP CR METAL CUIVRE CN3 5ML,2
FAP CR METAL MERCURE CN3 5ML,8
FAP CR METAL OR CN3 5ML,4
FAP CR PASTEL AUB/ROSEE CN3 5ML,5
FAP CR PASTEL AUROR/DORE CN3 5ML,5
FAP CR PASTEL BLEU/HORIZON CN3 5ML,4
FAP CR PASTEL MAUV/BRUME CN3 5ML,7
FAP CR PASTEL SOUFFL/BLANC CN3 5ML,11
FAP CR PASTEL VERT/BOCAG CN3 5ML,3
FAP DUO 2012  CN3 3G  SABLE  ET AMBRE,2028
FAP DUO 2012  CN3 3G AZUR  ET BLEU NUIT,946
FAP DUO 2012  CN3 3G OR ET ULTRA MARINE,521
FAP DUO 2012 CN3 3G GREGE ET TURQUOISE,822
FAP DUO 2012 CN3 3G KAKI ET VERT DE GRIS,1296
FAP DUO 2012 CN3 3G NOIR ET GRIS SMOKY,1488
FAP DUO 2012 CN3 3G PRUNE ET TAUPE PDRE,1832
FAP DUO 2012 CN3 3G ROSE NUDE ET BRUN,2797
FAP DUO BLEUET/JACINTH CN3 3G,7
FAP DUO LYS TULIP/NOIRE CN3 3G,4
FAP DUO MAUVE ET KAKI CN3 3G,6
FAP DUO MENTHE/ECORCE CN3 3G,1
FAP DUO PECHE/NOISETTE CN3 3G,6
FAP DUO PISTACH/PRUNE CN3 3G,6
FAP DUO TOURNESOL/CANNEL CN3 3G,1
FAP ENLUMINEUR  OR CUIVRE 2G LUM 4 VPM,2380
FAP ENLUMINEUR B LANC NEIGE 2G LUM 4 VPM,4950
FAP ENLUMINEUR OR BLANC 2G LUM4 VPM,3760
FAP ETE2012  VERTDEGRIS 2G LUM4 ANIM VPM,2
FAP MONO  BEIGE DORE CN3 3g,33
FAP MONO  BRUN  CUIVRE CN3 3g,110
"FAP MONO 2013 CN3    FIGUE  2,5G",1474
